,0,1
2648,data,데이터
11893,window,윈도우
2715,db,데이터베이스
6018,js,자바스크립트
5880,java,자바
6024,json,제이슨
2369,cpu,시피유
8967,python,파이썬
786,aws,아마존
4779,gpu,지피유
7703,node,노드
4662,github,깃허브
1954,code,코드
9365,rest,레스트
4746,google,구글
11618,visual,시각화
7822,numpy,넘파이
11895,windows,윈도우
11791,web,웹
1413,cafe,카페
6912,matplotlib,맷플롯립
8207,pandas,판다스
7853,object,오브젝트
7533,naver,네이버
7604,network,네트워크
6559,list,리스트
1874,cloud,클라우드
6380,layer,레이어
7097,microsoft,마이크로소프트
4718,go,고
440,app,앱
1811,class,클래스
3823,excel,엑셀
9506,rom,롬
3719,es,이에스
2903,design,디자인
6750,mac,맥
5891,javascript,자바스크립트
10846,tensorflow,텐서플로우
3158,docker,도커
9907,server,서버
4661,git,깃
347,android,안드로이드
2691,date,날짜
10875,text,텍스트
6124,keras,케라스
7232,model,모델
10667,svm,서포트벡터머신
10892,tf,텐서플로우
426,apache,아파치
797,azure,애져
11938,word,단어
6547,linux,리눅스
553,array,어레이
9160,react,리액트
9739,scikit,사이킷런
2660,dataframe,데이터프레임
9910,service,서비스
6015,jquery,제이쿼리
335,analysis,분석
11057,tool,툴
12136,youtube,유튜브
8047,oracle,오라클
305,amazon,아마존
9029,query,쿼리
2649,database,데이터베이스
8800,programming,프로그래밍
9367,restful,레스트풀
1971,coding,코딩
462,application,앱
10350,spring,스프링
4469,game,게임
11706,vue,뷰
11541,vector,벡터
7277,mongodb,몽고DB
332,anaconda,아나콘다
9768,script,스크립트
6067,kaggle,캐글
2702,daum,다음
7751,notion,노션
7834,nvidia,엔비디아
6382,layers,레이어
9024,quantum,퀀텀
4836,grid,그리드
10108,sklearn,사이킷런
7611,neural,뉴럴
10473,static,통계
7235,modeling,모델링
689,audio,오디오
12,spark,스파크
13,mariadb,마리아DB
14,opencv,오픈cv
15,django,장고
16,typescript,타입스크립트
17,svelte,스벨트
18,angular,앵귤러

